epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.307,2.26803,5.48004,2.17165,0.36819,0.14794,0.0593,0.02047,2.28751,29.8037,2.25983,0.00010829,0.00010829,0.00010829
2,310.964,1.99533,3.48034,1.9347,0.21302,0.19764,0.13234,0.05013,2.23997,8.00278,2.15904,0.000223426,0.000223426,0.000223426
3,474.212,1.89836,2.94489,1.81116,0.42037,0.15726,0.11699,0.04346,2.3369,6.92522,2.2084,0.000337022,0.000337022,0.000337022
4,638.851,1.9858,2.76642,1.8233,0.13124,0.26368,0.08345,0.02856,2.34342,7.88731,2.2837,0.000449079,0.000449079,0.000449079
5,802.698,1.86862,2.55262,1.7795,0.21276,0.16505,0.12355,0.04584,2.37982,5.86672,2.42723,0.000559596,0.000559596,0.000559596
6,972.82,1.81408,2.42856,1.73699,0.20466,0.2157,0.10722,0.03972,2.44128,4.24366,2.52166,0.000668574,0.000668574,0.000668574
7,1137.01,1.85838,2.48061,1.77467,0.15941,0.20264,0.10652,0.03869,2.37374,4.19399,2.47064,0.000776013,0.000776013,0.000776013
8,1295.76,1.8421,2.42152,1.73419,0.19651,0.21286,0.12814,0.04765,2.50228,4.47583,2.61801,0.000794515,0.000794515,0.000794515
9,1453.45,1.84136,2.43911,1.75008,0.28902,0.15521,0.10916,0.0397,2.60107,3.69891,2.57188,0.000789018,0.000789018,0.000789018
10,1611.61,1.866,2.38655,1.82989,0.15037,0.18125,0.08778,0.02943,2.47641,3.7703,2.63185,0.00078352,0.00078352,0.00078352
11,1771.2,1.78257,2.2496,1.72494,0.11617,0.20114,0.08945,0.0328,2.43457,3.75831,2.6419,0.000778022,0.000778022,0.000778022
12,1932.7,1.76754,2.14579,1.67028,0.11429,0.22118,0.10645,0.03423,2.64081,4.18349,2.67873,0.000772524,0.000772524,0.000772524
13,2087.61,1.77815,2.21419,1.70761,0.24869,0.1782,0.15248,0.05828,2.4416,3.45212,2.44823,0.000767026,0.000767026,0.000767026
14,2243.69,1.73581,2.01188,1.67219,0.30408,0.2329,0.17026,0.06408,2.41738,3.17116,2.46848,0.000761529,0.000761529,0.000761529
15,2406.75,1.6784,1.96954,1.61198,0.27303,0.2198,0.15745,0.05711,2.41545,3.26283,2.4284,0.000756031,0.000756031,0.000756031
16,2571.34,1.69059,2.00898,1.64492,0.21045,0.2833,0.17495,0.06629,2.41329,3.0447,2.41016,0.000750533,0.000750533,0.000750533
17,2737.21,1.7073,1.92435,1.65346,0.22486,0.30727,0.17029,0.06401,2.45399,3.02142,2.39036,0.000745035,0.000745035,0.000745035
18,2895.11,1.65437,1.86492,1.61824,0.32369,0.29025,0.21568,0.09298,2.4466,2.88986,2.42307,0.000739537,0.000739537,0.000739537
19,3044.49,1.6456,1.89413,1.60303,0.22408,0.20399,0.1536,0.05479,2.55098,3.06078,2.50547,0.00073404,0.00073404,0.00073404
20,3201.85,1.64788,1.82082,1.60572,0.24911,0.2361,0.17925,0.06919,2.37883,3.00988,2.40449,0.000728542,0.000728542,0.000728542
21,3359.75,1.5927,1.77536,1.57117,0.26021,0.26378,0.1907,0.08637,2.33834,2.85927,2.38001,0.000723044,0.000723044,0.000723044
22,3519.83,1.63233,1.73813,1.61376,0.30388,0.28444,0.20413,0.08484,2.32337,2.90549,2.34083,0.000717546,0.000717546,0.000717546
